,ags5,time_stamp,value
0,01001,2007-05-31,12.7
1,01001,2007-06-30,12.2
2,01001,2007-07-31,12.5
3,01001,2007-08-31,12.3
4,01001,2007-09-30,11.7
5,01001,2007-10-31,11.2
6,01001,2007-11-30,10.8
7,01001,2007-12-31,10.7
8,01001,2008-01-31,11.6
9,01001,2008-02-29,11.5
10,01001,2008-03-31,11.4
11,01001,2008-04-30,11.4
12,01001,2008-05-31,11.4
13,01001,2008-06-30,11.0
14,01001,2008-07-31,11.4
15,01001,2008-08-31,11.8
16,01001,2008-09-30,11.4
17,01001,2008-10-31,11.1
18,01001,2008-11-30,11.3
19,01001,2008-12-31,11.6
20,01001,2009-01-31,12.6
21,01001,2009-02-28,13.1
22,01001,2009-03-31,13.2
23,01001,2009-04-30,13.4
24,01001,2009-05-31,12.8
25,01001,2009-06-30,12.5
26,01001,2009-07-31,13.1
27,01001,2009-08-31,13.3
28,01001,2009-09-30,12.7
29,01001,2009-10-31,12.5
30,01001,2009-11-30,12.6
31,01001,2009-12-31,12.8
32,01001,2010-01-31,13.7
33,01001,2010-02-28,14.1
34,01001,2010-03-31,13.6
35,01001,2010-04-30,13.1
36,01001,2010-05-31,12.5
37,01001,2010-06-30,12.1
38,01001,2010-07-31,12.5
39,01001,2010-08-31,12.7
40,01001,2010-09-30,11.9
41,01001,2010-10-31,11.9
42,01001,2010-11-30,12.0
43,01001,2010-12-31,12.3
44,01001,2011-01-31,13.1
45,01001,2011-02-28,12.8
46,01001,2011-03-31,12.4
47,01001,2011-04-30,12.1
48,01001,2011-05-31,11.9
49,01001,2011-06-30,11.7
50,01001,2011-07-31,11.7
51,01001,2011-08-31,11.7
52,01001,2011-09-30,11.3
53,01001,2011-10-31,11.2
54,01001,2011-11-30,11.1
55,01001,2011-12-31,11.3
56,01001,2012-01-31,12.0
57,01001,2012-02-29,12.1
58,01001,2012-03-31,12.0
59,01001,2012-04-30,12.1
60,01001,2012-05-31,11.0
61,01001,2012-06-30,11.1
62,01001,2012-07-31,11.5
63,01001,2012-08-31,11.2
64,01001,2012-09-30,10.9
65,01001,2012-10-31,10.8
66,01001,2012-11-30,10.8
67,01001,2012-12-31,10.8
68,01001,2013-01-31,11.8
69,01001,2013-02-28,11.8
70,01001,2013-03-31,11.8
71,01001,2013-04-30,11.7
72,01001,2013-05-31,11.1
73,01001,2013-06-30,11.0
74,01001,2013-07-31,11.1
75,01001,2013-08-31,10.8
76,01001,2013-09-30,10.5
77,01001,2013-10-31,10.4
78,01001,2013-11-30,10.4
79,01001,2013-12-31,10.4
80,01001,2014-01-31,11.1
81,01001,2014-02-28,11.1
82,01001,2014-03-31,10.8
83,01001,2014-04-30,10.6
84,01001,2014-05-31,10.5
85,01001,2014-06-30,10.2
86,01001,2014-07-31,10.6
87,01001,2014-08-31,10.7
88,01001,2014-09-30,10.3
89,01001,2014-10-31,10.4
90,01001,2014-11-30,10.1
91,01001,2014-12-31,10.1
92,01001,2015-01-31,10.9
93,01001,2015-02-28,10.6
94,01001,2015-03-31,10.5
95,01001,2015-04-30,10.4
96,01001,2015-05-31,10.1
97,01001,2015-06-30,9.8
98,01001,2015-07-31,10.1
99,01001,2015-08-31,10.1
100,01001,2015-09-30,9.6
101,01001,2015-10-31,9.3
102,01001,2015-11-30,9.0
103,01001,2015-12-31,9.1
104,01001,2016-01-31,9.6
105,01001,2016-02-29,9.7
106,01001,2016-03-31,9.6
107,01001,2016-04-30,9.2
108,01001,2016-05-31,8.9
109,01001,2016-06-30,8.6
110,01001,2016-07-31,8.8
111,01001,2016-08-31,9.0
112,01001,2016-09-30,8.9
113,01001,2016-10-31,8.7
114,01001,2016-11-30,8.6
115,01001,2016-12-31,8.8
116,01001,2017-01-31,9.3
117,01001,2017-02-28,9.3
118,01001,2017-03-31,9.0
119,01001,2017-04-30,9.0
120,01001,2017-05-31,8.9
121,01001,2017-06-30,8.9
122,01001,2017-07-31,9.1
123,01001,2017-08-31,9.3
124,01001,2017-09-30,8.7
125,01001,2017-10-31,8.6
126,01001,2017-11-30,8.7
127,01001,2017-12-31,8.6
128,01001,2018-01-31,9.3
129,01001,2018-02-28,9.2
130,01001,2018-03-31,9.1
131,01001,2018-04-30,8.8
132,01001,2018-05-31,8.3
133,01001,2018-06-30,8.3
134,01001,2018-07-31,8.2
135,01001,2018-08-31,8.3
136,01001,2018-09-30,7.8
137,01001,2018-10-31,7.7
138,01001,2018-11-30,7.5
139,01001,2018-12-31,7.3
140,01001,2019-01-31,8.2
141,01001,2019-02-28,7.8
142,01001,2019-03-31,7.8
143,01001,2019-04-30,7.6
144,01001,2019-05-31,7.7
145,01001,2019-06-30,7.7
146,01001,2019-07-31,8.1
147,01001,2019-08-31,8.3
148,01001,2019-09-30,8.3
149,01001,2019-10-31,8.1
150,01001,2019-11-30,8.0
151,01001,2019-12-31,7.9
152,01001,2020-01-31,8.4
153,01001,2020-02-29,8.4
154,01001,2020-03-31,8.2
155,01001,2020-04-30,9.3
156,01001,2020-05-31,9.9
157,01001,2020-06-30,9.8
158,01001,2020-07-31,10.0
159,01001,2020-08-31,9.6
160,01001,2020-09-30,9.1
161,01001,2020-10-31,8.7
162,01001,2020-11-30,8.7
163,01001,2020-12-31,8.8
164,01001,2021-01-31,9.4
165,01001,2021-02-28,9.2
166,01001,2021-03-31,9.1
167,01001,2021-04-30,9.1
168,01001,2021-05-31,8.9
169,01002,2007-05-31,12.4
170,01002,2007-06-30,12.1
171,01002,2007-07-31,12.5
172,01002,2007-08-31,12.8
173,01002,2007-09-30,12.1
174,01002,2007-10-31,11.7
175,01002,2007-11-30,11.4
176,01002,2007-12-31,11.4
177,01002,2008-01-31,11.9
178,01002,2008-02-29,12.0
179,01002,2008-03-31,11.9
180,01002,2008-04-30,11.8
181,01002,2008-05-31,11.6
182,01002,2008-06-30,11.1
183,01002,2008-07-31,11.3
184,01002,2008-08-31,11.5
185,01002,2008-09-30,11.0
186,01002,2008-10-31,10.7
187,01002,2008-11-30,10.5
188,01002,2008-12-31,10.3
189,01002,2009-01-31,11.0
190,01002,2009-02-28,11.1
191,01002,2009-03-31,11.1
192,01002,2009-04-30,11.3
193,01002,2009-05-31,10.8
194,01002,2009-06-30,10.8
195,01002,2009-07-31,11.1
196,01002,2009-08-31,11.4
197,01002,2009-09-30,10.8
198,01002,2009-10-31,10.3
199,01002,2009-11-30,10.2
200,01002,2009-12-31,10.2
201,01002,2010-01-31,11.2
202,01002,2010-02-28,11.1
203,01002,2010-03-31,10.9
204,01002,2010-04-30,11.0
205,01002,2010-05-31,10.6
206,01002,2010-06-30,10.4
207,01002,2010-07-31,10.7
208,01002,2010-08-31,11.0
209,01002,2010-09-30,10.4
210,01002,2010-10-31,10.3
211,01002,2010-11-30,10.3
212,01002,2010-12-31,10.5
213,01002,2011-01-31,11.3
214,01002,2011-02-28,11.5
215,01002,2011-03-31,11.4
216,01002,2011-04-30,11.3
217,01002,2011-05-31,11.2
218,01002,2011-06-30,11.0
219,01002,2011-07-31,11.4
220,01002,2011-08-31,11.2
221,01002,2011-09-30,10.7
222,01002,2011-10-31,10.6
223,01002,2011-11-30,10.1
224,01002,2011-12-31,10.1
225,01002,2012-01-31,10.9
226,01002,2012-02-29,10.8
227,01002,2012-03-31,10.5
228,01002,2012-04-30,10.5
229,01002,2012-05-31,10.0
230,01002,2012-06-30,9.9
231,01002,2012-07-31,10.4
232,01002,2012-08-31,10.1
233,01002,2012-09-30,9.7
234,01002,2012-10-31,9.6
235,01002,2012-11-30,9.5
236,01002,2012-12-31,9.6
237,01002,2013-01-31,10.3
238,01002,2013-02-28,10.2
239,01002,2013-03-31,10.1
240,01002,2013-04-30,10.2
241,01002,2013-05-31,9.8
242,01002,2013-06-30,9.7
243,01002,2013-07-31,10.5
244,01002,2013-08-31,10.5
245,01002,2013-09-30,10.3
246,01002,2013-10-31,10.3
247,01002,2013-11-30,10.2
248,01002,2013-12-31,10.3
249,01002,2014-01-31,10.8
250,01002,2014-02-28,10.9
251,01002,2014-03-31,10.6
252,01002,2014-04-30,10.5
253,01002,2014-05-31,10.3
254,01002,2014-06-30,10.0
255,01002,2014-07-31,10.4
256,01002,2014-08-31,10.2
257,01002,2014-09-30,9.7
258,01002,2014-10-31,9.4
259,01002,2014-11-30,9.2
260,01002,2014-12-31,9.1
261,01002,2015-01-31,9.8
262,01002,2015-02-28,9.8
263,01002,2015-03-31,9.8
264,01002,2015-04-30,9.8
265,01002,2015-05-31,9.4
266,01002,2015-06-30,9.4
267,01002,2015-07-31,9.8
268,01002,2015-08-31,10.3
269,01002,2015-09-30,10.2
270,01002,2015-10-31,10.0
271,01002,2015-11-30,10.0
272,01002,2015-12-31,10.1
273,01002,2016-01-31,10.5
274,01002,2016-02-29,10.5
275,01002,2016-03-31,10.4
276,01002,2016-04-30,10.2
277,01002,2016-05-31,9.7
278,01002,2016-06-30,9.4
279,01002,2016-07-31,9.5
280,01002,2016-08-31,9.7
281,01002,2016-09-30,9.3
282,01002,2016-10-31,9.0
283,01002,2016-11-30,8.8
284,01002,2016-12-31,8.9
285,01002,2017-01-31,9.4
286,01002,2017-02-28,9.3
287,01002,2017-03-31,9.2
288,01002,2017-04-30,9.2
289,01002,2017-05-31,8.9
290,01002,2017-06-30,9.0
291,01002,2017-07-31,9.0
292,01002,2017-08-31,9.5
293,01002,2017-09-30,9.1
294,01002,2017-10-31,8.9
295,01002,2017-11-30,8.9
296,01002,2017-12-31,8.7
297,01002,2018-01-31,9.1
298,01002,2018-02-28,8.8
299,01002,2018-03-31,8.7
300,01002,2018-04-30,8.5
301,01002,2018-05-31,8.2
302,01002,2018-06-30,8.0
303,01002,2018-07-31,8.3
304,01002,2018-08-31,8.3
305,01002,2018-09-30,7.8
306,01002,2018-10-31,7.6
307,01002,2018-11-30,7.4
308,01002,2018-12-31,7.4
309,01002,2019-01-31,7.9
310,01002,2019-02-28,7.7
311,01002,2019-03-31,7.8
312,01002,2019-04-30,7.6
313,01002,2019-05-31,7.7
314,01002,2019-06-30,7.6
315,01002,2019-07-31,7.8
316,01002,2019-08-31,7.8
317,01002,2019-09-30,7.4
318,01002,2019-10-31,7.4
319,01002,2019-11-30,7.2
320,01002,2019-12-31,7.2
321,01002,2020-01-31,7.8
322,01002,2020-02-29,7.7
323,01002,2020-03-31,7.6
324,01002,2020-04-30,8.3
325,01002,2020-05-31,8.8
326,01002,2020-06-30,8.9
327,01002,2020-07-31,9.2
328,01002,2020-08-31,9.2
329,01002,2020-09-30,8.9
330,01002,2020-10-31,8.7
331,01002,2020-11-30,8.4
332,01002,2020-12-31,8.3
333,01002,2021-01-31,8.7
334,01002,2021-02-28,8.7
335,01002,2021-03-31,8.6
336,01002,2021-04-30,8.7
337,01002,2021-05-31,8.3
338,01003,2007-05-31,12.8
339,01003,2007-06-30,12.7
340,01003,2007-07-31,12.9
341,01003,2007-08-31,12.9
342,01003,2007-09-30,12.7
343,01003,2007-10-31,12.4
344,01003,2007-11-30,12.3
345,01003,2007-12-31,12.4
346,01003,2008-01-31,12.8
347,01003,2008-02-29,12.7
348,01003,2008-03-31,12.6
349,01003,2008-04-30,12.5
350,01003,2008-05-31,12.4
351,01003,2008-06-30,12.1
352,01003,2008-07-31,12.3
353,01003,2008-08-31,12.3
354,01003,2008-09-30,11.8
355,01003,2008-10-31,11.6
356,01003,2008-11-30,11.5
357,01003,2008-12-31,11.7
358,01003,2009-01-31,12.7
359,01003,2009-02-28,12.7
360,01003,2009-03-31,12.8
361,01003,2009-04-30,12.8
362,01003,2009-05-31,12.3
363,01003,2009-06-30,12.3
364,01003,2009-07-31,12.6
365,01003,2009-08-31,12.7
366,01003,2009-09-30,12.1
367,01003,2009-10-31,11.6
368,01003,2009-11-30,11.5
369,01003,2009-12-31,11.4
370,01003,2010-01-31,12.1
371,01003,2010-02-28,12.2
372,01003,2010-03-31,12.1
373,01003,2010-04-30,11.9
374,01003,2010-05-31,11.3
375,01003,2010-06-30,10.9
376,01003,2010-07-31,11.2
377,01003,2010-08-31,11.0
378,01003,2010-09-30,10.5
379,01003,2010-10-31,10.3
380,01003,2010-11-30,10.1
381,01003,2010-12-31,10.5
382,01003,2011-01-31,11.3
383,01003,2011-02-28,11.5
384,01003,2011-03-31,11.6
385,01003,2011-04-30,11.4
386,01003,2011-05-31,11.2
387,01003,2011-06-30,11.0
388,01003,2011-07-31,11.2
389,01003,2011-08-31,11.0
390,01003,2011-09-30,10.6
391,01003,2011-10-31,10.5
392,01003,2011-11-30,10.3
393,01003,2011-12-31,10.3
394,01003,2012-01-31,11.2
395,01003,2012-02-29,11.4
396,01003,2012-03-31,11.4
397,01003,2012-04-30,11.2
398,01003,2012-05-31,10.4
399,01003,2012-06-30,10.2
400,01003,2012-07-31,10.8
401,01003,2012-08-31,10.2
402,01003,2012-09-30,9.8
403,01003,2012-10-31,9.5
404,01003,2012-11-30,9.4
