,ags5,grow_shrink_cities,east_west,labor_market_type,settlement_structure_type_of_labor_market_region,district_settlement_structure,type_of_settlement_structure,urban_rural,metropolitan_region,support_area_status,eligible_area
0,1001,growing above average,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C,eligible for funding
1,1002,growing,west,metropolitan areas with increased unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,99,C/D,eligible for funding
2,1003,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,5,C/D,eligible for funding
3,1004,growing,west,dense districts with slightly above-average unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,5,D,eligible for funding
4,1051,growing,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,5,C,eligible for funding
5,1053,growing,west,dense districts with slightly below average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,5,D,eligible for funding
6,1054,growing,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C,eligible for funding
7,1055,growing above average,west,dense districts with slightly above-average unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,5,C,eligible for funding
8,1056,growing above average,west,dense districts with slightly below average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,5,C/N,eligible for funding
9,1057,no clear direction of development,west,metropolitan areas with increased unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,99,D,eligible for funding
10,1058,growing,west,dense districts with slightly above-average unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,99,D,eligible for funding
11,1059,growing above average,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C,eligible for funding
12,1060,growing above average,west,dense districts with slightly below average unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,5,N,not eligible for funding
13,1061,growing,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,5,C/D,eligible for funding
14,1062,growing above average,west,dense districts with slightly below average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,5,N,not eligible for funding
15,2000,growing,west,metropolitan areas with increased unemployment,urban labor market region,urban urban district,urban region,urban,5,N,not eligible for funding
16,3101,no clear direction of development,west,dense districts with slightly above-average unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,99,N,not eligible for funding
17,3102,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,99,N,not eligible for funding
18,3103,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,99,N,not eligible for funding
19,3151,growing above average,west,dense districts with slightly below average unemployment,urban labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,N,not eligible for funding
20,3153,shrinking,west,dense districts with slightly above-average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,C,eligible for funding
21,3154,growing,west,dense districts with slightly below average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,C,eligible for funding
22,3155,shrinking,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,D,eligible for funding
23,3157,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,N,not eligible for funding
24,3158,growing,west,dense districts with slightly above-average unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,99,N,not eligible for funding
25,3159,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,C/D,eligible for funding
26,3241,growing,west,metropolitan areas with increased unemployment,urban labor market region,urban district,urban region,urban,99,N,not eligible for funding
27,3251,growing,west,dense districts with slightly below average unemployment,sparsely populated rural labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,99,N,not eligible for funding
28,3252,shrinking,west,dense districts with slightly above-average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,D,eligible for funding
29,3254,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,D,eligible for funding
