ags5,PCA_Cluster,Kmodes_cluster,tsne_cluster,ags2,ags5_fix,fake
01001,0,1,2,1,01001,1
01002,2,2,2,1,01002,1
01003,2,2,2,1,01003,1
01004,0,0,2,1,01004,1
01051,0,1,0,1,01051,1
01053,0,0,0,1,01053,1
01054,0,1,0,1,01054,1
01055,0,0,0,1,01055,1
01056,0,2,1,1,01056,1
01057,0,1,0,1,01057,1
01058,0,0,1,1,01058,1
01059,0,0,0,1,01059,1
01060,0,0,1,1,01060,1
01061,0,1,0,1,01061,1
01062,0,2,1,1,01062,1
02000,1,2,1,2,02000,1
03101,2,2,2,3,03101,1
03102,0,2,2,3,03102,1
03103,0,2,2,3,03103,1
03151,0,1,1,3,03151,1
03153,0,1,0,3,03153,1
03154,0,1,0,3,03154,1
03155,0,1,0,3,03155,1
03157,0,2,0,3,03157,1
03158,0,0,0,3,03158,1
03159,0,2,1,3,03159,1
03241,2,2,1,3,03241,1
03251,0,2,1,3,03251,1
03252,0,0,0,3,03252,1
03254,0,2,1,3,03254,1
03255,0,1,0,3,03255,1
03256,0,0,1,3,03256,1
03257,0,2,0,3,03257,1
03351,0,0,0,3,03351,1
03352,0,0,1,3,03352,1
03353,0,2,1,3,03353,1
03354,0,1,0,3,03354,1
03355,0,1,0,3,03355,1
03356,0,2,0,3,03356,1
03357,0,0,1,3,03357,1
03358,0,1,0,3,03358,1
03359,0,0,1,3,03359,1
03360,0,1,0,3,03360,1
03361,0,0,1,3,03361,1
03401,0,0,2,3,03401,1
03402,0,0,2,3,03402,1
03403,0,2,2,3,03403,1
03404,0,2,2,3,03404,1
03405,0,0,2,3,03405,1
03451,0,2,0,3,03451,1
03452,0,0,0,3,03452,1
03453,0,0,1,3,03453,1
03454,0,0,1,3,03454,1
03455,0,2,0,3,03455,1
03456,0,0,1,3,03456,1
03457,0,0,0,3,03457,1
03458,0,2,1,3,03458,1
03459,0,2,1,3,03459,1
03460,0,0,1,3,03460,1
03461,0,1,0,3,03461,1
03462,0,1,0,3,03462,1
04011,2,2,2,4,04011,1
04012,0,2,2,4,04012,1
05111,2,2,2,5,05111,1
05112,2,2,2,5,05112,1
05113,2,2,2,5,05113,1
05114,2,2,2,5,05114,1
05116,2,2,2,5,05116,1
05117,0,2,2,5,05117,1
05119,2,2,2,5,05119,1
05120,0,2,2,5,05120,1
05122,0,2,2,5,05122,1
05124,2,2,2,5,05124,1
05154,0,2,1,5,05154,1
05158,2,2,1,5,05158,1
05162,2,2,1,5,05162,1
05166,0,2,1,5,05166,1
05170,2,2,1,5,05170,1
05314,2,2,2,5,05314,1
05315,2,2,1,5,05315,1
05316,0,2,2,5,05316,1
05334,2,2,1,5,05334,1
05358,0,2,1,5,05358,1
05362,2,2,1,5,05362,1
05366,0,2,1,5,05366,1
05370,0,2,1,5,05370,1
05374,0,2,1,5,05374,1
05378,0,2,1,5,05378,1
05382,2,2,1,5,05382,1
05512,0,2,0,5,05512,1
05513,2,2,2,5,05513,1
05515,2,2,2,5,05515,1
05554,2,2,1,5,05554,1
05558,0,2,1,5,05558,1
05562,2,2,1,5,05562,1
05566,2,2,1,5,05566,1
05570,0,0,1,5,05570,1
05711,2,2,2,5,05711,1
05754,2,2,1,5,05754,1
05758,0,2,1,5,05758,1
05762,0,0,0,5,05762,1
05766,0,2,1,5,05766,1
05770,0,2,1,5,05770,1
05774,0,2,1,5,05774,1
05911,2,2,2,5,05911,1
05913,2,2,2,5,05913,1
05914,0,2,2,5,05914,1
05915,0,2,2,5,05915,1
05916,2,2,2,5,05916,1
05954,2,2,1,5,05954,1
05958,0,0,1,5,05958,1
05962,2,2,1,5,05962,1
05966,0,0,1,5,05966,1
05970,0,2,1,5,05970,1
05974,0,2,1,5,05974,1
05978,2,2,1,5,05978,1
06411,2,2,2,6,06411,1
06412,2,2,1,6,06412,1
06413,2,2,1,6,06413,1
06414,2,2,2,6,06414,1
06431,0,2,1,6,06431,1
06432,0,2,1,6,06432,1
06433,2,2,1,6,06433,1
06434,0,2,1,6,06434,1
06435,2,2,1,6,06435,1
06436,0,2,1,6,06436,1
06437,0,2,0,6,06437,1
06438,2,2,1,6,06438,1
06439,0,2,1,6,06439,1
