ags5,PCA_Cluster,Kmodes_cluster,tsne_cluster,ags2,fake
1001,0,1,2,1,1
1002,2,2,2,1,1
1003,2,2,2,1,1
1004,0,0,2,1,1
1051,0,1,0,1,1
1053,0,0,0,1,1
1054,0,1,0,1,1
1055,0,0,0,1,1
1056,0,2,1,1,2
1057,0,1,0,1,1
1058,0,0,1,1,2
1059,0,0,0,1,1
1060,0,0,1,1,2
1061,0,1,0,1,1
1062,0,2,1,1,2
2000,1,2,1,2,2
3101,2,2,2,3,1
3102,0,2,2,3,1
3103,0,2,2,3,1
3151,0,1,1,3,2
3153,0,1,0,3,1
3154,0,1,0,3,1
3155,0,1,0,3,1
3157,0,2,0,3,1
3158,0,0,0,3,1
3159,0,2,1,3,2
3241,2,2,1,3,2
3251,0,2,1,3,2
3252,0,0,0,3,1
3254,0,2,1,3,2
3255,0,1,0,3,1
3256,0,0,1,3,2
3257,0,2,0,3,1
3351,0,0,0,3,1
3352,0,0,1,3,2
3353,0,2,1,3,2
3354,0,1,0,3,1
3355,0,1,0,3,1
3356,0,2,0,3,1
3357,0,0,1,3,2
3358,0,1,0,3,1
3359,0,0,1,3,2
3360,0,1,0,3,1
3361,0,0,1,3,2
3401,0,0,2,3,1
3402,0,0,2,3,1
3403,0,2,2,3,1
3404,0,2,2,3,1
3405,0,0,2,3,1
3451,0,2,0,3,1
3452,0,0,0,3,1
3453,0,0,1,3,2
3454,0,0,1,3,2
3455,0,2,0,3,1
3456,0,0,1,3,2
3457,0,0,0,3,1
3458,0,2,1,3,2
3459,0,2,1,3,2
3460,0,0,1,3,2
3461,0,1,0,3,1
3462,0,1,0,3,1
4011,2,2,2,4,1
4012,0,2,2,4,1
5111,2,2,2,5,1
5112,2,2,2,5,1
5113,2,2,2,5,1
5114,2,2,2,5,1
5116,2,2,2,5,1
5117,0,2,2,5,1
5119,2,2,2,5,1
5120,0,2,2,5,1
5122,0,2,2,5,1
5124,2,2,2,5,1
5154,0,2,1,5,2
5158,2,2,1,5,2
5162,2,2,1,5,2
5166,0,2,1,5,2
5170,2,2,1,5,2
5314,2,2,2,5,1
5315,2,2,1,5,2
5316,0,2,2,5,1
5334,2,2,1,5,2
5358,0,2,1,5,2
5362,2,2,1,5,2
5366,0,2,1,5,2
5370,0,2,1,5,2
5374,0,2,1,5,2
5378,0,2,1,5,2
5382,2,2,1,5,2
5512,0,2,0,5,1
5513,2,2,2,5,1
5515,2,2,2,5,1
5554,2,2,1,5,2
5558,0,2,1,5,2
5562,2,2,1,5,2
5566,2,2,1,5,2
5570,0,0,1,5,2
5711,2,2,2,5,1
5754,2,2,1,5,2
5758,0,2,1,5,2
5762,0,0,0,5,1
5766,0,2,1,5,2
5770,0,2,1,5,2
5774,0,2,1,5,2
5911,2,2,2,5,1
5913,2,2,2,5,1
5914,0,2,2,5,1
5915,0,2,2,5,1
5916,2,2,2,5,1
5954,2,2,1,5,2
5958,0,0,1,5,2
5962,2,2,1,5,2
5966,0,0,1,5,2
5970,0,2,1,5,2
5974,0,2,1,5,2
5978,2,2,1,5,2
6411,2,2,2,6,1
6412,2,2,1,6,2
6413,2,2,1,6,2
6414,2,2,2,6,1
