ags5,PCA_Cluster,Kmodes_cluster,tsne_cluster,ags2
01001,0,1,2,1
01002,2,2,2,1
01003,2,2,2,1
01004,0,0,2,1
01051,0,1,0,1
01053,0,0,0,1
01054,0,1,0,1
01055,0,0,0,1
01056,0,2,1,1
01057,0,1,0,1
01058,0,0,1,1
01059,0,0,0,1
01060,0,0,1,1
01061,0,1,0,1
01062,0,2,1,1
02000,1,2,1,2
03101,2,2,2,3
03102,0,2,2,3
03103,0,2,2,3
03151,0,1,1,3
03153,0,1,0,3
03154,0,1,0,3
03155,0,1,0,3
03157,0,2,0,3
03158,0,0,0,3
03159,0,2,1,3
03241,2,2,1,3
03251,0,2,1,3
03252,0,0,0,3
03254,0,2,1,3
03255,0,1,0,3
03256,0,0,1,3
03257,0,2,0,3
03351,0,0,0,3
03352,0,0,1,3
03353,0,2,1,3
03354,0,1,0,3
03355,0,1,0,3
03356,0,2,0,3
03357,0,0,1,3
03358,0,1,0,3
03359,0,0,1,3
03360,0,1,0,3
03361,0,0,1,3
03401,0,0,2,3
03402,0,0,2,3
03403,0,2,2,3
03404,0,2,2,3
03405,0,0,2,3
03451,0,2,0,3
03452,0,0,0,3
03453,0,0,1,3
03454,0,0,1,3
03455,0,2,0,3
03456,0,0,1,3
03457,0,0,0,3
03458,0,2,1,3
03459,0,2,1,3
03460,0,0,1,3
03461,0,1,0,3
03462,0,1,0,3
04011,2,2,2,4
04012,0,2,2,4
05111,2,2,2,5
05112,2,2,2,5
05113,2,2,2,5
05114,2,2,2,5
05116,2,2,2,5
05117,0,2,2,5
05119,2,2,2,5
05120,0,2,2,5
05122,0,2,2,5
05124,2,2,2,5
05154,0,2,1,5
05158,2,2,1,5
05162,2,2,1,5
05166,0,2,1,5
05170,2,2,1,5
05314,2,2,2,5
05315,2,2,1,5
05316,0,2,2,5
05334,2,2,1,5
05358,0,2,1,5
05362,2,2,1,5
05366,0,2,1,5
05370,0,2,1,5
05374,0,2,1,5
05378,0,2,1,5
05382,2,2,1,5
05512,0,2,0,5
05513,2,2,2,5
05515,2,2,2,5
05554,2,2,1,5
05558,0,2,1,5
05562,2,2,1,5
05566,2,2,1,5
05570,0,0,1,5
05711,2,2,2,5
05754,2,2,1,5
05758,0,2,1,5
05762,0,0,0,5
05766,0,2,1,5
05770,0,2,1,5
05774,0,2,1,5
05911,2,2,2,5
05913,2,2,2,5
05914,0,2,2,5
05915,0,2,2,5
05916,2,2,2,5
05954,2,2,1,5
05958,0,0,1,5
05962,2,2,1,5
05966,0,0,1,5
05970,0,2,1,5
05974,0,2,1,5
05978,2,2,1,5
06411,2,2,2,6
06412,2,2,1,6
06413,2,2,1,6
06414,2,2,2,6
06431,0,2,1,6
06432,0,2,1,6
06433,2,2,1,6
06434,0,2,1,6
06435,2,2,1,6
06436,0,2,1,6
06437,0,2,0,6
06438,2,2,1,6
06439,0,2,1,6
06440,0,2,1,6
06531,0,2,1,6
06532,0,2,1,6
06533,0,2,1,6
06534,0,0,1,6
06535,0,1,0,6
06611,2,2,2,6
06631,0,0,1,6
06632,0,0,0,6
06633,0,2,1,6
06634,0,0,0,6
06635,0,1,0,6
06636,0,1,0,6
07111,0,0,2,7
07131,0,0,0,7
07132,0,2,0,7
07133,0,0,0,7
07134,0,1,0,7
07135,0,1,0,7
07137,0,2,1,7
07138,0,2,1,7
07140,0,0,0,7
07141,0,2,0,7
07143,0,2,1,7
07211,0,2,2,7
07231,0,0,0,7
07232,0,0,0,7
07233,0,1,0,7
07235,0,0,0,7
07311,0,2,2,7
07312,0,2,2,7
07313,0,2,2,7
07314,2,2,2,7
07315,2,2,2,7
07316,0,2,2,7
07317,0,2,2,7
07318,0,2,2,7
07319,0,2,2,7
07320,0,2,0,7
07331,0,2,1,7
07332,0,2,0,7
07333,0,0,0,7
07334,0,2,1,7
07335,0,2,0,7
07336,0,0,0,7
07337,0,2,0,7
07338,0,2,1,7
07339,0,2,1,7
07340,0,0,0,7
08111,2,2,1,8
08115,2,2,1,8
08116,2,2,1,8
08117,0,2,1,8
08118,2,2,1,8
08119,2,2,1,8
08121,0,2,2,8
08125,0,2,1,8
08126,0,0,0,8
08127,0,0,0,8
08128,0,0,0,8
08135,0,2,1,8
08136,0,2,1,8
08211,0,2,1,8
08212,2,2,2,8
08215,2,2,1,8
08216,0,2,1,8
08221,2,2,2,8
08222,2,2,2,8
08225,0,0,0,8
08226,2,2,1,8
08231,0,2,1,8
08235,0,2,1,8
08236,0,2,1,8
08237,0,0,0,8
08311,2,2,2,8
08315,0,2,1,8
08316,0,2,1,8
08317,2,2,1,8
08325,0,2,1,8
08326,0,2,1,8
08327,0,2,1,8
08335,0,2,1,8
08336,0,2,1,8
08337,0,0,1,8
08415,0,2,1,8
08416,0,2,1,8
08417,0,2,1,8
08421,0,2,2,8
08425,0,0,1,8
08426,0,0,1,8
08435,0,2,1,8
08436,0,2,1,8
08437,0,0,0,8
09161,0,0,2,9
09162,2,2,1,9
09163,2,2,1,9
09171,0,0,0,9
09172,0,0,0,9
09173,0,0,0,9
09174,0,2,1,9
09175,0,2,1,9
09176,0,0,0,9
09177,0,0,0,9
09178,0,2,1,9
09179,0,2,1,9
09180,0,0,0,9
09181,0,0,0,9
09182,0,0,0,9
09183,0,0,0,9
09184,2,2,1,9
09185,0,0,0,9
09186,0,0,0,9
09187,0,0,1,9
09188,0,2,1,9
09189,0,0,0,9
09190,0,0,1,9
09261,0,0,2,9
09262,0,0,2,9
09263,0,0,2,9
09271,0,0,0,9
09272,0,1,0,9
09273,0,0,0,9
09274,0,0,0,9
09275,0,0,0,9
09276,0,0,0,9
09277,0,0,0,9
09278,0,0,0,9
09279,0,0,0,9
09361,0,1,2,9
09362,2,2,2,9
09363,0,1,2,9
09371,0,1,0,9
09372,0,1,0,9
09373,0,0,0,9
09374,0,1,0,9
09375,0,0,0,9
09376,0,0,0,9
09377,0,1,0,9
09461,0,0,2,9
09462,0,0,2,9
09463,0,0,2,9
09464,0,0,2,9
09471,0,0,0,9
09472,0,0,0,9
09473,0,0,0,9
09474,0,0,0,9
09475,0,0,0,9
09476,0,0,0,9
09477,0,1,0,9
09478,0,0,0,9
09479,0,1,0,9
09561,0,0,2,9
09562,0,2,2,9
09563,0,2,2,9
09564,2,2,2,9
09565,0,2,2,9
09571,0,0,0,9
