cluster,ags5,kreis
0,1001,"Flensburg, Stadt"
0,1002,"Kiel, Landeshauptstadt"
0,1003,"Lübeck, Hansestadt"
0,1004,"Neumünster, Stadt"
2,1051,Dithmarschen
2,1053,Herzogtum Lauenburg
2,1054,Nordfriesland
0,1055,Ostholstein
1,1056,Pinneberg
3,1057,Plön
1,1058,Rendsburg-Eckernförde
2,1059,Schleswig-Flensburg
0,1060,Segeberg
2,1061,Steinburg
1,1062,Stormarn
1,2000,Hamburg
0,3101,Braunschweig
0,3102,Salzgitter
0,3103,Wolfsburg
1,3151,Gifhorn
1,3153,Goslar
0,3154,Helmstedt
2,3155,Northeim
1,3157,Peine
1,3158,Wolfenbüttel
0,3159,Göttingen
1,3241,Hannover
1,3251,Diepholz
2,3252,Hameln-Pyrmont
0,3254,Hildesheim
2,3255,Holzminden
3,3256,Nienburg/Weser
0,3257,Schaumburg
3,3351,Celle
2,3352,Cuxhaven
1,3353,Harburg
3,3354,Lüchow-Dannenberg
1,3355,Lüneburg
0,3356,Osterholz
3,3357,Rotenburg (Wümme)
2,3358,Heidekreis
1,3359,Stade
2,3360,Uelzen
0,3361,Verden
0,3401,Delmenhorst
1,3402,Emden
0,3403,"Oldenburg, Stadt"
1,3404,"Osnabrück, Stadt"
0,3405,Wilhelmshaven
0,3451,Ammerland
2,3452,Aurich
0,3453,Cloppenburg
3,3454,Emsland
0,3455,Friesland
0,3456,Grafschaft Bentheim
2,3457,Leer
0,3458,"Oldenburg, Kreis"
1,3459,"Osnabrück, Kreis"
0,3460,Vechta
3,3461,Wesermarsch
2,3462,Wittmund
1,4011,Bremen
1,4012,Bremerhaven
1,5111,Düsseldorf
1,5112,Duisburg
0,5113,Essen
1,5114,Krefeld
1,5116,Mönchengladbach
1,5117,Mülheim an der Ruhr
1,5119,Oberhausen
1,5120,Remscheid
1,5122,Solingen
1,5124,Wuppertal
1,5154,Kleve
1,5158,Mettmann
1,5162,Rhein-Kreis Neuss
1,5166,Viersen
1,5170,Wesel
1,5314,Bonn
1,5315,Köln
1,5316,Leverkusen
1,5334,Aachen
1,5358,Düren
1,5362,Rhein-Erft-Kreis
1,5366,Euskirchen
1,5370,Heinsberg
1,5374,Oberbergischer Kreis
1,5378,Rheinisch-Bergischer Kreis
1,5382,Rhein-Sieg-Kreis
1,5512,Bottrop
1,5513,Gelsenkirchen
0,5515,Münster
1,5554,Borken
1,5558,Coesfeld
1,5562,Recklinghausen
1,5566,Steinfurt
1,5570,Warendorf
1,5711,Bielefeld
1,5754,Gütersloh
1,5758,Herford
1,5762,Höxter
1,5766,Lippe
1,5770,Minden-Lübbecke
1,5774,Paderborn
1,5911,Bochum
1,5913,Dortmund
1,5914,Hagen
1,5915,Hamm
1,5916,Herne
1,5954,Ennepe-Ruhr-Kreis
1,5958,Hochsauerlandkreis
1,5962,Märkischer Kreis
0,5966,Olpe
0,5970,Siegen-Wittgenstein
0,5974,Soest
1,5978,Unna
1,6411,Kreisfreie Stadt Darmstadt
1,6412,Kreisfreie Stadt Frankfurt am Main
1,6413,Kreisfreie Stadt Offenbach am Main
0,6414,Landeshauptstadt Wiesbaden
1,6431,Bergstraße
1,6432,Darmstadt-Dieburg
1,6433,Groß-Gerau
1,6434,Hochtaunus
1,6435,Main-Kinzig
1,6436,Main-Taunus
0,6437,Odenwaldkreis
1,6438,Offenbach
1,6439,Rheingau-Taunus
1,6440,Wetterau
0,6531,Gießen
0,6532,Lahn-Dill
1,6533,Limburg-Weilburg
0,6534,Marburg-Biedenkopf
2,6535,Vogelsberg
0,6611,Kreisfreie Stadt Kassel
0,6631,Fulda
2,6632,Hersfeld-Rotenburg
0,6633,Kassel
3,6634,Schwalm-Eder
3,6635,Waldeck-Frankenberg
3,6636,Werra-Meißner
0,7111,Stadt Koblenz
3,7131,Ahrweiler
0,7132,Altenkirchen (Ww)
1,7133,Bad Kreuznach
3,7134,Birkenfeld
3,7135,Cochem-Zell
0,7137,Mayen-Koblenz
0,7138,Neuwied
3,7140,Rhein-Hunsrück-Kreis
0,7141,Rhein-Lahn-Kreis
0,7143,Westerwaldkreis
0,7211,Stadt Trier
3,7231,Bernkastel-Wittlich
3,7232,Eifelkreis Bitburg-Prüm
3,7233,Vulkaneifel
3,7235,Trier-Saarburg
1,7311,Stadt Frankenthal (Pfalz)
0,7312,Stadt Kaiserslautern
1,7313,Stadt Landau in der Pfalz
1,7314,Stadt Ludwigshafen a. Rh.
1,7315,Stadt Mainz
1,7316,Stadt Neustadt a.d. W.
0,7317,Stadt Pirmasens
1,7318,Stadt Speyer
1,7319,Stadt Worms
0,7320,Stadt Zweibrücken
1,7331,Alzey-Worms
1,7332,Bad Dürkheim
3,7333,Donnersbergkreis
1,7334,Germersheim
2,7335,Kaiserslautern
1,7336,Kusel
0,7337,Südliche Weinstraße
1,7338,Rhein-Pfalz-Kreis
1,7339,Mainz-Bingen
0,7340,Südwestpfalz
1,8111,Stuttgart
1,8115,Böblingen
1,8116,Esslingen
0,8117,Göppingen
1,8118,Ludwigsburg
1,8119,Rems-Murr-Kreis
0,8121,"Heilbronn, Stadt"
1,8125,"Heilbronn, Kreis"
1,8126,Hohenlohekreis
1,8127,Schwäbisch Hall
3,8128,Main-Tauber-Kreis
1,8135,Heidenheim
1,8136,Ostalbkreis
0,8211,Baden-Baden
1,8212,"Karlsruhe, Stadt"
1,8215,"Karlsruhe, Kreis"
0,8216,Rastatt
1,8221,Heidelberg
1,8222,Mannheim
1,8225,Neckar-Odenwald-Kreis
1,8226,Rhein-Neckar-Kreis
0,8231,Pforzheim
0,8235,Calw
0,8236,Enzkreis
1,8237,Freudenstadt
1,8311,Freiburg im Breisgau
0,8315,Breisgau-Hochschwarzwald
1,8316,Emmendingen
1,8317,Ortenaukreis
1,8325,Rottweil
1,8326,Schwarzwald-Baar-Kreis
1,8327,Tuttlingen
0,8335,Konstanz
0,8336,Lörrach
1,8337,Waldshut
0,8415,Reutlingen
0,8416,Tübingen
1,8417,Zollernalbkreis
0,8421,Ulm
0,8425,Alb-Donau-Kreis
0,8426,Biberach
0,8435,Bodenseekreis
1,8436,Ravensburg
1,8437,Sigmaringen
0,9161,Ingolstadt
0,9162,"München, Landeshauptstadt"
0,9163,"Rosenheim, Stadt"
0,9171,Altötting
2,9172,Berchtesgadener Land
3,9173,Bad Tölz-Wolfratshausen
0,9174,Dachau
0,9175,Ebersberg
3,9176,Eichstätt
0,9177,Erding
0,9178,Freising
0,9179,Fürstenfeldbruck
3,9180,Garmisch-Partenkirchen
0,9181,Landsberg am Lech
3,9182,Miesbach
3,9183,Mühldorf a.Inn
1,9184,"München, Kreis"
3,9185,Neuburg-Schrobenhausen
0,9186,Pfaffenhofen a.d.Ilm
0,9187,"Rosenheim, Kreis"
0,9188,Starnberg
3,9189,Traunstein
3,9190,Weilheim-Schongau
0,9261,"Landshut, Stadt"
3,9262,"Passau, Stadt"
3,9263,Straubing
3,9271,Deggendorf
3,9272,Freyung-Grafenau
3,9273,Kelheim
3,9274,"Landshut, Kreis"
3,9275,"Passau, Kreis"
3,9276,Regen
3,9277,Rottal-Inn
3,9278,Straubing-Bogen
3,9279,Dingolfing-Landau
0,9361,Amberg
0,9362,"Regensburg, Stadt"
2,9363,Weiden i.d.OPf.
3,9371,Amberg-Sulzbach
2,9372,Cham
0,9373,Neumarkt i.d.OPf.
2,9374,Neustadt a.d.Waldnaab
3,9375,"Regensburg, Kreis"
2,9376,Schwandorf
3,9377,Tirschenreuth
0,9461,"Bamberg, Stadt"
0,9462,"Bayreuth, Stadt"
0,9463,"Coburg, Stadt"
0,9464,"Hof, Stadt"
0,9471,"Bamberg, Kreis"
3,9472,"Bayreuth, Kreis"
3,9473,"Coburg, Kreis"
3,9474,Forchheim
3,9475,"Hof, Kreis"
3,9476,Kronach
3,9477,Kulmbach
3,9478,Lichtenfels
3,9479,Wunsiedel i.Fichtelgebirge
0,9561,"Ansbach, Stadt"
0,9562,Erlangen
0,9563,"Fürth, Stadt"
1,9564,Nürnberg
0,9565,Schwabach
0,9571,"Ansbach, Kreis"
0,9572,Erlangen-Höchstadt
0,9573,"Fürth, Kreis"
1,9574,Nürnberger Land
3,9575,Neustadt a.d.Aisch-Bad Windsheim
1,9576,Roth
0,9577,Weißenburg-Gunzenhausen
0,9661,"Aschaffenburg, Stadt"
0,9662,"Schweinfurt, Stadt"
0,9663,"Würzburg, Stadt"
0,9671,"Aschaffenburg, Kreis"
3,9672,Bad Kissingen
3,9673,Rhön-Grabfeld
3,9674,Haßberge
0,9675,Kitzingen
0,9676,Miltenberg
3,9677,Main-Spessart
3,9678,"Schweinfurt, Kreis"
0,9679,"Würzburg, Kreis"
0,9761,"Augsburg, Stadt"
3,9762,Kaufbeuren
0,9763,Kempten (Allgäu)
0,9764,Memmingen
0,9771,Aichach-Friedberg
0,9772,"Augsburg, Kreis"
3,9773,Dillingen a.d.Donau
0,9774,Günzburg
0,9775,Neu-Ulm
0,9776,Lindau (Bodensee)
3,9777,Ostallgäu
3,9778,Unterallgäu
3,9779,Donau-Ries
3,9780,Oberallgäu
1,10041,Regionalverband Saarbrücken
0,10042,Landkreis Merzig-Wadern
1,10043,Landkreis Neunkirchen
1,10044,Landkreis Saarlouis
0,10045,Saarpfalz-Kreis
0,10046,Landkreis St. Wendel
1,11000,Berlin
2,12051,Brandenburg an der Havel
2,12052,Cottbus
