ags5,date,unemployment_rate
01001,2010-01-31,13.7
01001,2010-02-28,14.1
01001,2010-03-31,13.6
01001,2010-04-30,13.1
01001,2010-05-31,12.5
01001,2010-06-30,12.1
01001,2010-07-31,12.5
01001,2010-08-31,12.7
01001,2010-09-30,11.9
01001,2010-10-31,11.9
01001,2010-11-30,12.0
01001,2010-12-31,12.3
01001,2011-01-31,13.1
01001,2011-02-28,12.8
01001,2011-03-31,12.4
01001,2011-04-30,12.1
01001,2011-05-31,11.9
01001,2011-06-30,11.7
01001,2011-07-31,11.7
01001,2011-08-31,11.7
01001,2011-09-30,11.3
01001,2011-10-31,11.2
01001,2011-11-30,11.1
01001,2011-12-31,11.3
01001,2012-01-31,12.0
01001,2012-02-29,12.1
01001,2012-03-31,12.0
01001,2012-04-30,12.1
01001,2012-05-31,11.0
01001,2012-06-30,11.1
01001,2012-07-31,11.5
01001,2012-08-31,11.2
01001,2012-09-30,10.9
01001,2012-10-31,10.8
01001,2012-11-30,10.8
01001,2012-12-31,10.8
01001,2013-01-31,11.8
01001,2013-02-28,11.8
01001,2013-03-31,11.8
01001,2013-04-30,11.7
01001,2013-05-31,11.1
01001,2013-06-30,11.0
01001,2013-07-31,11.1
01001,2013-08-31,10.8
01001,2013-09-30,10.5
01001,2013-10-31,10.4
01001,2013-11-30,10.4
01001,2013-12-31,10.4
01001,2014-01-31,11.1
01001,2014-02-28,11.1
01001,2014-03-31,10.8
01001,2014-04-30,10.6
01001,2014-05-31,10.5
01001,2014-06-30,10.2
01001,2014-07-31,10.6
01001,2014-08-31,10.7
01001,2014-09-30,10.3
01001,2014-10-31,10.4
01001,2014-11-30,10.1
01001,2014-12-31,10.1
01001,2015-01-31,10.9
01001,2015-02-28,10.6
01001,2015-03-31,10.5
01001,2015-04-30,10.4
01001,2015-05-31,10.1
01001,2015-06-30,9.8
01001,2015-07-31,10.1
01001,2015-08-31,10.1
01001,2015-09-30,9.6
01001,2015-10-31,9.3
01001,2015-11-30,9.0
01001,2015-12-31,9.1
01001,2016-01-31,9.6
01001,2016-02-29,9.7
01001,2016-03-31,9.6
01001,2016-04-30,9.2
01001,2016-05-31,8.9
01001,2016-06-30,8.6
01001,2016-07-31,8.8
01001,2016-08-31,9.0
01001,2016-09-30,8.9
01001,2016-10-31,8.7
01001,2016-11-30,8.6
01001,2016-12-31,8.8
01001,2017-01-31,9.3
01001,2017-02-28,9.3
01001,2017-03-31,9.0
01001,2017-04-30,9.0
01001,2017-05-31,8.9
01001,2017-06-30,8.9
01001,2017-07-31,9.1
01001,2017-08-31,9.3
01001,2017-09-30,8.7
01001,2017-10-31,8.6
01001,2017-11-30,8.7
01001,2017-12-31,8.6
01001,2018-01-31,9.3
01001,2018-02-28,9.2
01001,2018-03-31,9.1
01001,2018-04-30,8.8
01001,2018-05-31,8.3
01001,2018-06-30,8.3
01001,2018-07-31,8.2
01001,2018-08-31,8.3
01001,2018-09-30,7.8
01001,2018-10-31,7.7
01001,2018-11-30,7.5
01001,2018-12-31,7.3
01001,2019-01-31,8.2
01001,2019-02-28,7.8
01001,2019-03-31,7.8
01001,2019-04-30,7.6
01001,2019-05-31,7.7
01001,2019-06-30,7.7
01001,2019-07-31,8.1
01001,2019-08-31,8.3
01001,2019-09-30,8.3
