ags5,date,ground_truth,pred,error
1001,1/31/2018,9.3,8.666405,0.633595276
1001,2/28/2018,9.2,8.807995,0.392005157
1001,3/31/2018,9.1,8.730574,0.369426346
1001,4/30/2018,8.8,8.2424555,0.557544518
1001,5/31/2018,8.3,8.107006,0.192993927
1001,6/30/2018,8.3,8.176214,0.123785782
1001,7/31/2018,8.2,7.7703886,0.429611397
1001,8/31/2018,8.3,7.759188,0.540811825
1001,9/30/2018,7.8,7.7319036,0.068096447
1001,10/31/2018,7.7,7.236021,0.463978958
1001,11/30/2018,7.5,7.322086,0.177914143
1001,12/31/2018,7.3,7.5971894,0.297189426
1001,1/31/2019,8.2,7.7784963,0.421503735
1001,2/28/2019,7.8,7.84881,0.048810196
1001,3/31/2019,7.8,7.825788,0.025788021
1001,4/30/2019,7.6,7.5664835,0.033516502
1001,5/31/2019,7.7,7.3689027,0.331097317
1001,6/30/2019,7.7,7.343968,0.356032085
1001,7/31/2019,8.1,7.1431837,0.956816292
1001,8/31/2019,8.3,7.1143994,1.185600567
1001,9/30/2019,8.3,7.0895658,1.210434246
1001,10/31/2019,8.1,6.72184,1.378160095
1001,11/30/2019,8,6.756373,1.243627071
1001,12/31/2019,7.9,7.001636,0.898363972
1002,1/31/2018,9.1,8.912413,0.187587357
1002,2/28/2018,8.8,8.89484,0.09484024
1002,3/31/2018,8.7,8.856683,0.156682777
1002,4/30/2018,8.5,8.76385,0.263850212
1002,5/31/2018,8.2,8.522078,0.32207756
1002,6/30/2018,8,8.684596,0.684596062
1002,7/31/2018,8.3,8.456299,0.156298828
1002,8/31/2018,8.3,8.605543,0.305543137
1002,9/30/2018,7.8,8.633551,0.833550644
1002,10/31/2018,7.6,8.129148,0.52914753
1002,11/30/2018,7.4,8.217428,0.817428207
1002,12/31/2018,7.4,8.297941,0.897941208
1002,1/31/2019,7.9,8.001365,0.101364708
1002,2/28/2019,7.7,8.069235,0.369234848
1002,3/31/2019,7.8,8.164816,0.364815903
1002,4/30/2019,7.6,7.779353,0.179353142
1002,5/31/2019,7.7,7.6749177,0.025082302
1002,6/30/2019,7.6,7.7917128,0.191712761
1002,7/31/2019,7.8,7.7717857,0.028214264
1002,8/31/2019,7.8,7.786042,0.013957787
1002,9/30/2019,7.4,7.6125183,0.212518311
1002,10/31/2019,7.4,7.3243537,0.075646305
1002,11/30/2019,7.2,7.2624865,0.062486458
1002,12/31/2019,7.2,7.2925367,0.092536736
1003,1/31/2018,8.5,8.438007,0.061992645
1003,2/28/2018,8.5,8.513614,0.013613701
1003,3/31/2018,8.4,8.517523,0.117522812
