ags5,date,ground_truth,pred,error,mape
01001,2021-02-28,9.2,9.615231399043696,0.4152313990436962,0.04513384772214089
01001,2021-03-31,9.1,9.589322964790275,0.4893229647902757,0.053771754372557774
01001,2021-04-30,9.1,9.761608459495106,0.6616084594951062,0.07270422631814354
01002,2021-02-28,8.7,8.66009615642893,0.039903843571069686,0.004586648686329849
01002,2021-03-31,8.6,8.838194902179051,0.23819490217905148,0.027697081648726918
01002,2021-04-30,8.7,9.158877063787818,0.4588770637878188,0.05274449009055389
01003,2021-02-28,8.8,8.771561584678631,0.028438415321369703,0.003231638104701102
01003,2021-03-31,8.9,8.957272014376256,0.05727201437625595,0.006435057795084938
01003,2021-04-30,8.9,9.309954792196535,0.40995479219653497,0.04606233620185786
01004,2021-02-28,9.8,9.522312007534907,0.27768799246509346,0.028335509435213617
01004,2021-03-31,9.6,9.33546688297842,0.2645331170215801,0.027555533023081263
01004,2021-04-30,9.4,9.54330767785894,0.14330767785893883,0.01524549764456796
01051,2021-02-28,6.9,6.927444354788751,0.027444354788750402,0.0039774427230073045
01051,2021-03-31,6.6,6.734644940518592,0.13464494051859255,0.020400748563423114
01051,2021-04-30,6.4,6.510923092598171,0.11092309259817057,0.01733173321846415
01053,2021-02-28,5.8,5.79777117634005,0.002228823659949697,0.00038427994137063743
01053,2021-03-31,5.7,5.764263107027923,0.06426310702792293,0.011274229303144373
01053,2021-04-30,5.6,5.878030004236591,0.27803000423659174,0.04964821504224853
01054,2021-02-28,6.3,6.262039254966354,0.03796074503364544,0.006025515084705625
01054,2021-03-31,6.0,5.741043380340765,0.25895661965923544,0.04315943660987257
01054,2021-04-30,5.6,5.340754684804375,0.2592453151956242,0.0462938062849329
01055,2021-02-28,6.3,6.321973134125163,0.02197313412516344,0.0034877990674862607
01055,2021-03-31,6.0,5.900184930030021,0.09981506996997869,0.016635844994996447
01055,2021-04-30,5.6,5.435677527957934,0.1643224720420653,0.029343298578940233
01056,2021-02-28,5.9,5.865294184458559,0.034705815541441254,0.005882341617193433
01056,2021-03-31,5.7,5.831784698087179,0.13178469808717885,0.023120122471434884
01056,2021-04-30,5.6,5.905315183006352,0.3053151830063525,0.054520568393991525
01057,2021-02-28,5.0,5.139853625937581,0.13985362593758133,0.027970725187516265
01057,2021-03-31,4.7,5.076438753775895,0.3764387537758944,0.08009335186721157
01057,2021-04-30,4.5,5.071112689352699,0.5711126893526988,0.1269139309672664
01058,2021-02-28,4.8,4.842887408412573,0.042887408412573436,0.008934876752619466
01058,2021-03-31,4.6,4.70969221437631,0.10969221437631038,0.023846133560067477
01058,2021-04-30,4.5,4.735542568708898,0.23554256870889834,0.05234279304642185
01059,2021-02-28,5.9,5.850321087256745,0.04967891274325531,0.008420154702246663
01059,2021-03-31,5.7,5.680318560896619,0.019681439103381493,0.0034528840532248232
01059,2021-04-30,5.5,5.677364064479819,0.17736406447981867,0.03224801172360339
01060,2021-02-28,5.3,5.256508422791557,0.04349157720844321,0.00820595796385721
01060,2021-03-31,5.2,5.231211488765953,0.03121148876595292,0.006002209378067869
01060,2021-04-30,5.1,5.335349110643495,0.2353491106434955,0.04614688443990108
01061,2021-02-28,6.5,6.360764922740935,0.13923507725906514,0.021420781116779253
01061,2021-03-31,6.3,6.3270190101864685,0.027019010186468684,0.00428873177562995
01061,2021-04-30,6.2,6.440074115889703,0.24007411588970307,0.038721631595113395
01062,2021-02-28,4.2,4.136242772655771,0.0637572273442295,0.015180292224816549
01062,2021-03-31,4.0,4.143033762798184,0.1430337627981837,0.035758440699545924
01062,2021-04-30,3.9,4.228093699498601,0.3280936994986008,0.08412658961502585
02000,2021-02-28,8.1,8.100303201911798,0.0003032019117981122,3.7432334789890394e-05
02000,2021-03-31,8.0,7.9284294248986,0.07157057510139975,0.008946321887674968
02000,2021-04-30,8.0,7.967489253496187,0.032510746503812804,0.0040638433129766005
03101,2021-02-28,5.7,5.703283044526271,0.0032830445262712615,0.0005759727239072388
03101,2021-03-31,5.5,5.727002548518388,0.22700254851838775,0.041273190639706865
03101,2021-04-30,5.5,5.9932710964692575,0.4932710964692575,0.08968565390350136
03102,2021-02-28,10.2,10.148112531934776,0.05188746806522282,0.005087006673061061
03102,2021-03-31,9.8,10.18949110972394,0.38949110972393974,0.039743990788157116
03102,2021-04-30,9.7,10.400203250637237,0.7002032506372373,0.07218590212755024
03103,2021-02-28,5.5,5.632380162363145,0.13238016236314465,0.024069120429662662
03103,2021-03-31,5.5,5.609487916917777,0.10948791691777693,0.019906893985050352
03103,2021-04-30,5.5,5.751999220606298,0.2519992206062982,0.04581804011023604
03151,2021-02-28,4.8,4.778334615640878,0.02166538435912191,0.004513621741483731
03151,2021-03-31,4.7,4.7033700490594645,0.003370049059464364,0.0007170317147796518
03151,2021-04-30,4.6,4.72926557550057,0.12926557550057005,0.028101212065341316
03153,2021-02-28,7.5,7.4702317538151215,0.0297682461848785,0.003969099491317133
03153,2021-03-31,7.3,7.319111946053356,0.0191119460533562,0.0026180748018296163
03153,2021-04-30,7.2,7.476387736666415,0.2763877366664147,0.03838718564811315
03154,2021-02-28,6.7,6.773757090086654,0.07375709008665421,0.011008520908455851
03154,2021-03-31,6.5,6.705672106954966,0.20567210695496563,0.03164186260845625
03154,2021-04-30,6.5,6.835741520629459,0.33574152062945917,0.05165254163530141
03155,2021-02-28,6.0,5.965890868388025,0.0341091316119746,0.0056848552686624325
03155,2021-03-31,5.8,5.8523964334566845,0.052396433456684655,0.009033867837359424
03155,2021-04-30,5.7,5.919735945743333,0.21973594574333255,0.0385501659198829
03157,2021-02-28,5.4,5.696737447403492,0.2967374474034914,0.0549513791487947
03157,2021-03-31,5.4,5.676057777852306,0.2760577778523059,0.051121810713389976
03157,2021-04-30,5.4,5.731956637966995,0.3319566379669947,0.06147345147536939
03158,2021-02-28,5.2,5.356466810245991,0.15646681024599118,0.03008977120115215
03158,2021-03-31,5.0,5.300383227487966,0.3003832274879663,0.06007664549759326
03158,2021-04-30,4.9,5.375625975391323,0.47562597539132234,0.09706652559006577
03159,2021-02-28,6.3,6.325019760638161,0.025019760638160804,0.003971390577485842
03159,2021-03-31,6.1,6.331865741043885,0.2318657410438858,0.03801077722030915
03159,2021-04-30,6.0,6.470675366786604,0.4706753667866037,0.07844589446443395
03241,2021-02-28,8.2,8.246884981987298,0.04688498198729896,0.00571768073015841
03241,2021-03-31,8.0,8.296890795508652,0.29689079550865216,0.03711134943858152
03241,2021-04-30,8.0,8.536748437312458,0.5367484373124576,0.0670935546640572
03251,2021-02-28,4.9,4.770474515807904,0.1295254841920963,0.026433772284101285
03251,2021-03-31,4.7,4.650601122849151,0.0493988771508489,0.010510399393797637
03251,2021-04-30,4.6,4.7651365631924,0.16513656319240066,0.03589925286791319
03252,2021-02-28,7.2,7.235879741697565,0.03587974169756514,0.004983297457995158
03252,2021-03-31,7.0,7.041613786596925,0.04161378659692527,0.00594482665670361
03252,2021-04-30,7.1,7.0769995539053125,0.0230004460946871,0.0032394994499559296
03254,2021-02-28,6.8,6.71592013065197,0.08407986934803002,0.012364686668827944
03254,2021-03-31,6.7,6.6245967711413005,0.07540322885869966,0.011254213262492485
03254,2021-04-30,6.7,6.765851310775989,0.06585131077598838,0.009828553847162445
03255,2021-02-28,6.9,6.745292243549739,0.1547077564502617,0.022421413978298794
03255,2021-03-31,6.7,6.584471477185719,0.11552852281428105,0.017243063106609113
03255,2021-04-30,6.8,6.570928479589255,0.22907152041074497,0.03368698829569779
03256,2021-02-28,5.7,5.618889727665255,0.08111027233474477,0.014229872339428906
03256,2021-03-31,5.4,5.418329985210924,0.018329985210923994,0.0033944417057266653
03256,2021-04-30,5.3,5.480730264305529,0.18073026430552908,0.03410004986896775
03257,2021-02-28,6.1,6.090772268068764,0.009227731931235716,0.0015127429395468388
03257,2021-03-31,5.8,5.934847106697186,0.13484710669718591,0.023249501154687227
03257,2021-04-30,5.7,6.0027667792557935,0.3027667792557933,0.05311697881680584
03351,2021-02-28,6.7,6.80432397750046,0.10432397750046007,0.015570742910516428
03351,2021-03-31,6.5,6.648989479893952,0.1489894798939524,0.022921458445223444
03351,2021-04-30,6.4,6.710798849428152,0.31079884942815195,0.04856232022314874
03352,2021-02-28,6.3,6.371197364261266,0.07119736426126622,0.011301168930359717
03352,2021-03-31,6.2,6.252633155740145,0.05263315574014449,0.00848921866776524
03352,2021-04-30,6.1,6.20751984234555,0.10751984234555056,0.017626203663205012
03353,2021-02-28,4.8,4.851649194787104,0.05164919478710406,0.010760248913980013
03353,2021-03-31,4.7,4.7891734061012174,0.08917340610121727,0.018973065127918565
03353,2021-04-30,4.6,4.872699560081658,0.27269956008165863,0.05928251306123014
03354,2021-02-28,8.0,8.036049912555495,0.0360499125554945,0.004506239069436813
03354,2021-03-31,7.9,7.771141263041882,0.12885873695811867,0.016311232526344133
03354,2021-04-30,7.5,7.636581188717167,0.13658118871716685,0.01821082516228891
03355,2021-02-28,6.5,6.393605623249815,0.1063943767501847,0.01636836565387457
03355,2021-03-31,6.4,6.346298410619378,0.05370158938062275,0.008390873340722305
