ags2,bundesland,ags5,kreis
1,Schleswig-Holstein,1001,"Flensburg, Stadt"
1,Schleswig-Holstein,1002,"Kiel, Landeshauptstadt"
1,Schleswig-Holstein,1003,"Lübeck, Hansestadt"
1,Schleswig-Holstein,1004,"Neumünster, Stadt"
1,Schleswig-Holstein,1051,Dithmarschen
1,Schleswig-Holstein,1053,Herzogtum Lauenburg
1,Schleswig-Holstein,1054,Nordfriesland
1,Schleswig-Holstein,1055,Ostholstein
1,Schleswig-Holstein,1056,Pinneberg
1,Schleswig-Holstein,1057,Plön
1,Schleswig-Holstein,1058,Rendsburg-Eckernförde
1,Schleswig-Holstein,1059,Schleswig-Flensburg
1,Schleswig-Holstein,1060,Segeberg
1,Schleswig-Holstein,1061,Steinburg
1,Schleswig-Holstein,1062,Stormarn
2,Hamburg,2000,Hamburg
3,Niedersachsen,3101,Braunschweig
3,Niedersachsen,3102,Salzgitter
3,Niedersachsen,3103,Wolfsburg
3,Niedersachsen,3151,Gifhorn
3,Niedersachsen,3153,Goslar
3,Niedersachsen,3154,Helmstedt
3,Niedersachsen,3155,Northeim
3,Niedersachsen,3157,Peine
3,Niedersachsen,3158,Wolfenbüttel
3,Niedersachsen,3159,Göttingen
3,Niedersachsen,3241,Hannover
3,Niedersachsen,3251,Diepholz
3,Niedersachsen,3252,Hameln-Pyrmont
3,Niedersachsen,3254,Hildesheim
3,Niedersachsen,3255,Holzminden
3,Niedersachsen,3256,Nienburg/Weser
3,Niedersachsen,3257,Schaumburg
3,Niedersachsen,3351,Celle
3,Niedersachsen,3352,Cuxhaven
3,Niedersachsen,3353,Harburg
3,Niedersachsen,3354,Lüchow-Dannenberg
3,Niedersachsen,3355,Lüneburg
3,Niedersachsen,3356,Osterholz
3,Niedersachsen,3357,Rotenburg (Wümme)
3,Niedersachsen,3358,Heidekreis
3,Niedersachsen,3359,Stade
3,Niedersachsen,3360,Uelzen
3,Niedersachsen,3361,Verden
3,Niedersachsen,3401,Delmenhorst
3,Niedersachsen,3402,Emden
3,Niedersachsen,3403,"Oldenburg, Stadt"
3,Niedersachsen,3404,"Osnabrück, Stadt"
3,Niedersachsen,3405,Wilhelmshaven
3,Niedersachsen,3451,Ammerland
3,Niedersachsen,3452,Aurich
3,Niedersachsen,3453,Cloppenburg
3,Niedersachsen,3454,Emsland
3,Niedersachsen,3455,Friesland
3,Niedersachsen,3456,Grafschaft Bentheim
3,Niedersachsen,3457,Leer
