id,ags2,bundesland,ags5,kreis,kr_opnv_d,kr_opnv_b,kr_sm_b,kr_sm_d,kr_opnv_idx,kr_dist_bush,kr_dist_bhf,kr_dist_opnv,kr_dist_ustrab
1,1,Schleswig-Holstein,1001,"Flensburg, Stadt",180,100,92,500,35,240,2901,240,-99
2,1,Schleswig-Holstein,1002,"Kiel, Landeshauptstadt",193,100,92,460,37,268,2037,265,-99
3,1,Schleswig-Holstein,1003,"Lübeck, Hansestadt",276,99,90,532,37,297,1927,294,-99
4,1,Schleswig-Holstein,1004,"Neumünster, Stadt",187,100,85,588,37,316,1648,313,-99
5,1,Schleswig-Holstein,1051,Dithmarschen,576,87,51,1864,35,448,3517,443,-99
6,1,Schleswig-Holstein,1053,Herzogtum Lauenburg,343,94,63,1545,37,468,3308,456,5181
7,1,Schleswig-Holstein,1054,Nordfriesland,721,75,62,1445,34,792,3214,761,-99
8,1,Schleswig-Holstein,1055,Ostholstein,527,88,64,1336,35,545,3492,536,-99
9,1,Schleswig-Holstein,1056,Pinneberg,330,96,81,807,47,427,1902,415,4550
10,1,Schleswig-Holstein,1057,Plön,551,86,58,1686,35,461,3266,453,-99
11,1,Schleswig-Holstein,1058,Rendsburg-Eckernförde,750,79,60,1428,35,618,3176,559,-99
12,1,Schleswig-Holstein,1059,Schleswig-Flensburg,788,77,51,1755,28,757,4780,748,-99
13,1,Schleswig-Holstein,1060,Segeberg,460,91,68,1235,40,437,2318,418,3772
14,1,Schleswig-Holstein,1061,Steinburg,1030,77,63,1428,36,495,3539,490,-99
15,1,Schleswig-Holstein,1062,Stormarn,289,98,65,1220,47,433,2853,425,4513
16,2,Hamburg,2000,Hamburg,228,100,94,443,66,295,1181,280,2027
17,3,Niedersachsen,3101,Braunschweig,214,100,94,449,55,388,3488,360,1332
18,3,Niedersachsen,3102,Salzgitter,226,99,82,785,38,313,2044,311,4909
19,3,Niedersachsen,3103,Wolfsburg,206,100,90,611,34,404,3496,404,-99
20,3,Niedersachsen,3151,Gifhorn,423,95,57,1661,36,419,3672,410,6217
21,3,Niedersachsen,3153,Goslar,391,94,73,998,36,356,3238,355,-99
22,3,Niedersachsen,3154,Helmstedt,293,99,58,1704,33,370,4798,370,7368
23,3,Niedersachsen,3155,Northeim,870,76,50,1893,36,390,3082,372,-99
24,3,Niedersachsen,3157,Peine,303,97,63,1230,34,429,3700,428,7368
25,3,Niedersachsen,3158,Wolfenbüttel,270,98,57,1612,40,431,2906,426,5637
26,3,Niedersachsen,3159,Göttingen,385,93,67,1255,35,399,3345,394,5335
27,3,Niedersachsen,3241,Hannover,235,100,86,639,49,440,2313,410,2962
28,3,Niedersachsen,3251,Diepholz,864,76,57,1402,36,404,3496,401,5099
29,3,Niedersachsen,3252,Hameln-Pyrmont,368,93,70,1119,37,280,3263,268,-99
30,3,Niedersachsen,3254,Hildesheim,336,96,68,1059,38,357,2878,353,5399
31,3,Niedersachsen,3255,Holzminden,360,96,63,1454,36,411,3593,410,-99
32,3,Niedersachsen,3256,Nienburg/Weser,657,85,54,1608,27,452,5091,452,-99
33,3,Niedersachsen,3257,Schaumburg,432,92,60,1267,35,414,3485,411,-99
34,3,Niedersachsen,3351,Celle,418,94,69,1197,35,408,3577,405,-99
35,3,Niedersachsen,3352,Cuxhaven,617,87,56,1625,34,440,3558,438,-99
36,3,Niedersachsen,3353,Harburg,429,92,58,1347,36,482,3137,469,7286
37,3,Niedersachsen,3354,Lüchow-Dannenberg,1834,56,38,2960,31,589,4107,585,-99
38,3,Niedersachsen,3355,Lüneburg,427,94,66,1366,36,447,3113,433,-99
39,3,Niedersachsen,3356,Osterholz,709,80,53,1405,39,396,3578,391,5092
40,3,Niedersachsen,3357,Rotenburg (Wümme),1059,73,50,1920,34,453,3891,447,9903
41,3,Niedersachsen,3358,Heidekreis,1074,69,62,1539,36,381,2760,376,-99
42,3,Niedersachsen,3359,Stade,384,94,68,1128,42,439,3217,437,5296
43,3,Niedersachsen,3360,Uelzen,676,82,56,1780,36,351,2913,349,-99
44,3,Niedersachsen,3361,Verden,497,89,62,1168,38,357,2744,350,6220
45,3,Niedersachsen,3401,Delmenhorst,203,100,91,575,44,268,1888,267,7217
46,3,Niedersachsen,3402,Emden,239,99,80,803,37,303,2332,303,-99
47,3,Niedersachsen,3403,Oldenburg,216,100,92,511,35,324,2749,324,-99
48,3,Niedersachsen,3404,Osnabrück,208,100,88,560,36,332,2440,330,-99
49,3,Niedersachsen,3405,Wilhelmshaven,229,99,90,509,34,399,3606,395,-99
50,3,Niedersachsen,3451,Ammerland,588,85,58,1368,32,406,4161,403,-99
51,3,Niedersachsen,3452,Aurich,750,77,53,1457,28,447,4532,445,-99
52,3,Niedersachsen,3453,Cloppenburg,1732,54,59,1318,27,405,4931,404,-99
53,3,Niedersachsen,3454,Emsland,1265,74,63,1241,29,438,3602,435,-99
54,3,Niedersachsen,3455,Friesland,559,86,63,1185,34,393,3294,356,-99
55,3,Niedersachsen,3456,Grafschaft Bentheim,893,79,66,1149,36,340,2852,339,-99
56,3,Niedersachsen,3457,Leer,916,72,55,1371,26,463,5005,460,-99
57,3,Niedersachsen,3458,Oldenburg,924,76,55,1464,37,372,2618,371,9073
58,3,Niedersachsen,3459,Osnabrück,608,85,64,1097,34,331,3532,330,9787
59,3,Niedersachsen,3460,Vechta,1294,61,64,1168,36,345,3458,340,-99
60,3,Niedersachsen,3461,Wesermarsch,816,82,60,1305,36,367,2861,349,8877
61,3,Niedersachsen,3462,Wittmund,1066,61,50,1827,26,795,4263,524,-99
62,4,Bremen,4011,Bremen,236,100,95,440,61,371,1874,299,1332
63,4,Bremen,4012,Bremerhaven,228,100,92,477,37,302,1673,298,-99
64,5,Nordrhein-Westfalen,5111,Düsseldorf,185,100,94,423,75,290,816,241,818
65,5,Nordrhein-Westfalen,5112,Duisburg,207,100,95,437,60,322,1822,294,1960
66,5,Nordrhein-Westfalen,5113,Essen,208,100,94,464,68,362,946,291,1428
67,5,Nordrhein-Westfalen,5114,Krefeld,208,100,89,558,66,364,1905,294,800
68,5,Nordrhein-Westfalen,5116,Mönchengladbach,173,100,85,601,37,255,2001,253,9689
69,5,Nordrhein-Westfalen,5117,Mülheim an der Ruhr,201,100,91,553,68,292,1627,250,787
70,5,Nordrhein-Westfalen,5119,Oberhausen,171,100,95,472,54,347,1568,337,3470
71,5,Nordrhein-Westfalen,5120,Remscheid,178,100,76,706,49,265,1477,262,5794
72,5,Nordrhein-Westfalen,5122,Solingen,197,100,88,580,50,241,1832,238,4990
73,5,Nordrhein-Westfalen,5124,Wuppertal,174,100,85,584,46,219,1463,214,6368
74,5,Nordrhein-Westfalen,5154,Kleve,410,92,69,1072,35,439,3278,431,8424
75,5,Nordrhein-Westfalen,5158,Mettmann,209,100,90,552,46,273,2110,272,5984
76,5,Nordrhein-Westfalen,5162,Rhein-Kreis Neuss,236,100,82,701,46,365,1664,347,4440
77,5,Nordrhein-Westfalen,5166,Viersen,309,96,77,752,37,401,3367,396,5885
78,5,Nordrhein-Westfalen,5170,Wesel,318,96,80,794,38,421,3144,414,5900
79,5,Nordrhein-Westfalen,5314,Bonn,170,100,93,458,66,296,1480,254,1135
80,5,Nordrhein-Westfalen,5315,Köln,224,100,96,409,65,337,1638,300,1272
81,5,Nordrhein-Westfalen,5316,Leverkusen,190,100,88,579,50,281,2033,278,5040
82,5,Nordrhein-Westfalen,5334,Aachen,208,99,84,675,37,350,2039,344,9338
83,5,Nordrhein-Westfalen,5358,Düren,269,98,62,1173,37,444,2541,428,-99
84,5,Nordrhein-Westfalen,5362,Rhein-Erft-Kreis,258,99,82,693,46,242,2701,239,4396
85,5,Nordrhein-Westfalen,5366,Euskirchen,275,97,51,1649,37,300,2890,297,6406
86,5,Nordrhein-Westfalen,5370,Heinsberg,282,98,62,1135,34,474,2939,467,-99
87,5,Nordrhein-Westfalen,5374,Oberbergischer Kreis,441,91,58,1198,30,354,4842,352,8916
88,5,Nordrhein-Westfalen,5378,Rheinisch-Bergischer Kreis,284,98,74,802,44,280,3710,277,5224
89,5,Nordrhein-Westfalen,5382,Rhein-Sieg-Kreis,311,97,69,1027,45,302,3059,293,3829
90,5,Nordrhein-Westfalen,5512,Bottrop,194,100,89,554,48,295,2281,292,5212
91,5,Nordrhein-Westfalen,5513,Gelsenkirchen,183,100,98,401,65,355,1619,290,1076
92,5,Nordrhein-Westfalen,5515,Münster,199,99,92,479,37,219,2193,218,-99
93,5,Nordrhein-Westfalen,5554,Borken,511,90,81,826,33,490,3543,481,-99
94,5,Nordrhein-Westfalen,5558,Coesfeld,467,90,77,884,36,388,2772,380,9723
95,5,Nordrhein-Westfalen,5562,Recklinghausen,204,99,90,583,42,344,2554,336,5799
96,5,Nordrhein-Westfalen,5566,Steinfurt,440,92,76,850,36,392,2969,389,-99
97,5,Nordrhein-Westfalen,5570,Warendorf,473,90,78,886,35,443,3290,419,-99
98,5,Nordrhein-Westfalen,5711,Bielefeld,215,100,87,599,67,350,1231,322,1810
99,5,Nordrhein-Westfalen,5754,Gütersloh,418,92,74,892,35,441,3727,431,7208
100,5,Nordrhein-Westfalen,5758,Herford,267,98,69,879,37,402,2939,399,7644
