German_Variable,Variable name,Translation,Beschreibung,description
_ID,_ID,ID,ID,ID
AGS2,AGS2,Code of the federal state,Amtlicher Gemeindeschlüssel 2-stellig,Ofﬁcial community key with 2 digits
BUNDESLAND,FEDERAL STATE,State name,Name des Bundeslands,State name
AGS5,AGS5,Code number of the district,Amtlicher Gemeindeschlüssel 5-stellig,Ofﬁcial community key with 5 digits
KREIS,CIRCLE,Name of the district,Name des Landkreises,Name of the district
KR_KA_AU_JJJJMM,KR_KA_AU_YYYYMM,Displayed short- time work companies,Eingegangene Anzeigen über Kurzarbeit von Unternehmen je Monat (konjunkturelle Kurzarbeit),Advertisements received about short-time work from companies per month (short- time work in the economy)
KR_KA_AP_JJJJMM,KR_KA_AP_YYYYMM,Displayed short- time work - people,Anzahl gemeldete Personen in den eingegangenen anzeigen über Kurzarbeit von unternehmen je Monat (konjunkturelle Kurzarbeit),Number of persons registered in the advertisements received about short-time working by companies per month (short-time working in the economy)
KR_KA_RU_JJJJMM,KR_KA_RU_YYYYMM,Realized short- time work companies,Anzahl kurzarbeitende Unternehmen je Monat (konjunkturelle Kurzarbeit),Number of short- time working companies per month (cyclical short-time working)
KR_KA_RP_JJJJMM,KR_KA_RP_YYYYMM,Realized short- time work - people,Anzahl Kurzarbeiter je Monat (konjunkturelle Kurzarbeit),Number of short- time workers per month (cyclical short-time work)
KR_AL_JJJJMM,KR_AL_YYYYMM,Unemployed,Anzahl Arbeitslose je Monat,Number of unemployed per month
KR_ALQ_JJJJMM,KR_ALQ_YYYYMM,Unemployment rate,Arbeitslosenquote je Monat,Unemployment rate per month
KR_SVB_AO_JJJJMM,KR_SVB_AO_YYYYMM,Employees subject to social security contributions at the place of work,Anzahl Sozialversicherungspflichtig Beschäftigte am Arbeitsort je Quartal,Number of employees subject to social security contributions at the place of work per quarter
KR_SVB_WO_JJJJMM,KR_SVB_WO_YYYYMM,Employees subject to social security contributions at place of residence,Anzahl Sozialversicherungspflichtig Beschäftigte am Wohnort je Quartal,Number of employees subject to social security contributions at the place of residence per quarter
KR_UB_JJJJMM,KR_UB_YYYYMM,Underemployment (without short- time work),Anzahl Arbeitslose zuzüglich Teilnehmer an Arbeitsmarktmaßnahmen und Personen mit arbeitsmarktbedingtem Sonderstatus (z.b. kurzfristige Arbeitsunfähigkeit) je Monat,Number of unemployed plus participants in labor market measures and persons with a labor market- related special status (e.g. short- term inability to work) per month
KR_ALGA_JJJJMM,KR_ALGA_YYYYMM,Unemployment beneﬁt recipients,Bestand an Leistungsbeziehenden von Arbeitslosengeld bei Arbeitslosigkeit je Monat,Number of recipients of unemployment beneﬁt in the event of unemployment per month
KR_GA_JJJJMM,KR_GA_YYYYMM,Registered jobs,"Anzahl sozialversicherungspflichtige, geringfügige (Mini-Jobs) und sonstige (z.B. Praktika- oder Traineestellen) Beschäftigungen je Monat",Number of marginal (mini jobs) and other (e.g. internship or trainee positions) jobs subject to social insurance contributions per month
KR_RLB_JJJJMM,KR_RLB_YYYYMM,Beneﬁciaries,Bestand an Personen mit Anspruch auf Arbeitslosengeld II oder Sozialgeld je Monat (Hochrechnung für die letzten 3 Monate),Number of people entitled to unemployment beneﬁt II or social beneﬁts per month (extrapolation for the last 3 months)
