_id,id,ags2,bundesland,ags5,kreis,kr_fris,kr_rest,kr_shops,kr_gewerbe,kr_mall,kr_vereine,kr_sb,kr_poi_1,kr_poi_2,kr_poi_3,kr_poi_4,kr_poi_5,kr_poi_6,kr_poi_7,kr_poi_8,kr_poi_9
1,1,01,Schleswig-Holstein,01001,"Flensburg, Stadt",82,131,361,5856,6,185,0,93,754,62,32,145,37,115,378,941
2,2,01,Schleswig-Holstein,01002,"Kiel, Landeshauptstadt",213,343,621,14017,9,611,0,238,1543,173,62,393,107,185,1106,2189
3,3,01,Schleswig-Holstein,01003,"Lübeck, Hansestadt",219,277,674,12357,14,491,2,162,1521,115,102,361,87,193,904,1921
4,4,01,Schleswig-Holstein,01004,"Neumünster, Stadt",81,115,296,4639,7,120,1,57,616,50,14,126,34,109,272,762
5,5,01,Schleswig-Holstein,01051,Dithmarschen,155,250,386,8984,3,248,5,110,1118,121,326,292,62,195,476,1375
6,6,01,Schleswig-Holstein,01053,Herzogtum Lauenburg,165,168,456,11296,1,383,13,128,1281,165,90,246,128,213,625,1871
7,7,01,Schleswig-Holstein,01054,Nordfriesland,200,521,625,15149,0,420,8,163,1822,190,1132,564,110,327,718,2297
8,8,01,Schleswig-Holstein,01055,Ostholstein,215,440,590,13505,0,375,5,130,1701,183,687,411,128,249,834,2064
9,9,01,Schleswig-Holstein,01056,Pinneberg,277,346,754,18973,5,487,9,255,2247,181,106,397,102,335,961,3153
10,10,01,Schleswig-Holstein,01057,Plön,112,182,323,7584,0,266,11,131,905,176,177,221,67,123,454,1281
11,11,01,Schleswig-Holstein,01058,Rendsburg-Eckernförde,237,284,650,16222,11,494,9,227,1915,403,184,370,124,283,1015,2721
12,12,01,Schleswig-Holstein,01059,Schleswig-Flensburg,162,243,552,13291,3,340,16,215,1468,272,197,312,99,290,713,2392
13,13,01,Schleswig-Holstein,01060,Segeberg,237,270,683,17052,6,432,6,171,2056,199,84,313,91,294,844,3154
14,14,01,Schleswig-Holstein,01061,Steinburg,113,167,327,8045,1,208,8,113,978,114,48,184,70,134,435,1319
15,15,01,Schleswig-Holstein,01062,Stormarn,212,200,552,16807,1,430,6,142,1717,184,59,231,92,230,824,2731
16,16,02,Hamburg,02000,Hamburg,1521,2630,4108,151292,71,5845,1,1729,13152,730,401,2584,550,1466,7041,19260
17,17,03,Niedersachsen,03101,Braunschweig,289,285,691,15114,9,778,1,341,1882,206,64,327,85,221,993,2195
18,18,03,Niedersachsen,03102,Salzgitter,88,120,242,4127,2,235,4,91,629,68,27,104,37,97,353,626
19,19,03,Niedersachsen,03103,Wolfsburg,126,141,361,4972,3,300,1,128,649,85,44,160,25,80,388,731
20,20,03,Niedersachsen,03151,Gifhorn,179,156,422,7640,0,323,7,177,1049,275,95,184,66,123,470,1332
21,21,03,Niedersachsen,03153,Goslar,147,309,435,8660,2,435,4,185,1278,159,375,326,71,144,582,1425
22,22,03,Niedersachsen,03154,Helmstedt,93,85,248,4262,0,229,4,105,613,101,41,97,37,73,293,675
23,23,03,Niedersachsen,03155,Northeim,144,168,397,8008,1,373,13,170,1147,270,74,216,51,134,514,1428
24,24,03,Niedersachsen,03157,Peine,121,115,311,6764,1,224,5,177,917,119,24,134,49,116,388,1142
25,25,03,Niedersachsen,03158,Wolfenbüttel,131,106,285,6279,1,311,5,126,827,103,38,118,38,83,384,1065
26,26,03,Niedersachsen,03159,Göttingen,330,437,952,19409,3,967,23,505,2735,409,294,481,127,305,1483,3266
27,27,03,Niedersachsen,03241,Hannover,1098,1422,2891,70017,22,3292,21,1377,8438,881,345,1454,420,953,4216,12091
28,28,03,Niedersachsen,03251,Diepholz,242,279,679,15353,1,496,8,207,1911,353,80,315,79,248,716,2465
29,29,03,Niedersachsen,03252,Hameln-Pyrmont,202,219,462,9282,2,399,4,199,1406,131,146,252,58,131,672,1718
30,30,03,Niedersachsen,03254,Hildesheim,278,345,816,15575,3,709,6,384,2234,154,110,406,177,258,938,2895
31,31,03,Niedersachsen,03255,Holzminden,79,102,224,4157,0,118,4,87,656,106,47,118,26,73,267,769
32,32,03,Niedersachsen,03256,Nienburg/Weser,117,148,378,7708,0,301,12,163,964,228,75,170,57,148,391,1308
33,33,03,Niedersachsen,03257,Schaumburg,193,200,467,9453,0,371,3,162,1385,183,117,266,84,180,653,1914
34,34,03,Niedersachsen,03351,Celle,187,233,537,10756,0,557,12,209,1339,204,131,285,74,160,622,1731
35,35,03,Niedersachsen,03352,Cuxhaven,182,295,525,11440,0,375,11,269,1447,361,329,295,79,181,647,1725
36,36,03,Niedersachsen,03353,Harburg,272,230,607,16976,3,600,14,224,1994,231,138,340,93,232,833,2805
37,37,03,Niedersachsen,03354,Lüchow-Dannenberg,49,74,152,3349,0,259,1,84,426,109,82,100,17,63,224,453
38,38,03,Niedersachsen,03355,Lüneburg,194,196,465,11056,0,607,6,185,1348,177,121,227,84,149,786,1791
39,39,03,Niedersachsen,03356,Osterholz,111,131,295,6746,0,258,4,153,826,144,47,150,41,99,392,1071
40,40,03,Niedersachsen,03357,Rotenburg (Wümme),152,201,471,10933,0,327,5,208,1265,226,99,246,48,208,501,1665
41,41,03,Niedersachsen,03358,Heidekreis,140,204,434,8679,1,415,8,143,1130,207,228,279,54,176,490,1365
42,42,03,Niedersachsen,03359,Stade,185,224,575,12413,0,356,5,233,1367,197,78,277,66,187,621,1820
43,43,03,Niedersachsen,03360,Uelzen,99,119,289,5691,1,283,5,88,711,74,119,175,38,103,372,817
44,44,03,Niedersachsen,03361,Verden,141,167,384,8804,0,345,2,147,1015,147,71,179,54,118,451,1365
45,45,03,Niedersachsen,03401,Delmenhorst,83,80,229,3883,1,103,0,81,557,62,10,71,25,68,243,652
46,46,03,Niedersachsen,03402,Emden,50,85,192,3006,1,126,0,58,364,35,28,73,19,35,168,399
47,47,03,Niedersachsen,03403,Oldenburg,173,264,498,11556,5,390,1,183,1308,77,37,242,59,110,858,1608
48,48,03,Niedersachsen,03404,Osnabrück,181,304,524,11190,1,483,0,170,1321,134,40,270,72,152,763,1523
49,49,03,Niedersachsen,03405,Wilhelmshaven,95,124,229,3960,1,142,1,61,591,63,38,111,24,55,296,591
50,50,03,Niedersachsen,03451,Ammerland,139,165,316,8659,0,247,2,123,1019,142,114,179,45,138,425,1320
51,51,03,Niedersachsen,03452,Aurich,179,349,581,11712,4,426,3,235,1498,229,577,301,101,143,605,1589
52,52,03,Niedersachsen,03453,Cloppenburg,133,204,491,10806,0,249,15,194,1302,175,66,165,57,149,377,1581
53,53,03,Niedersachsen,03454,Emsland,290,463,1076,21058,4,511,16,395,2307,385,188,444,152,323,888,2896
54,54,03,Niedersachsen,03455,Friesland,113,180,300,6318,0,200,6,116,857,144,189,191,44,99,395,856
55,55,03,Niedersachsen,03456,Grafschaft Bentheim,125,206,408,8525,1,216,5,169,1065,111,67,177,57,145,427,1161
56,56,03,Niedersachsen,03457,Leer,145,228,515,10597,2,299,13,198,1207,130,221,222,104,143,526,1380
57,57,03,Niedersachsen,03458,Oldenburg,119,142,282,8657,0,272,5,135,966,170,45,162,42,139,429,1367
58,58,03,Niedersachsen,03459,Osnabrück,324,454,978,21438,0,641,15,379,2652,273,161,441,182,325,1147,3296
59,59,03,Niedersachsen,03460,Vechta,129,238,408,10034,0,228,10,152,1077,103,48,194,40,163,362,1319
60,60,03,Niedersachsen,03461,Wesermarsch,95,122,258,4991,0,190,3,123,608,123,55,103,51,86,290,766
61,61,03,Niedersachsen,03462,Wittmund,60,140,186,3800,0,126,1,67,525,99,405,143,34,63,197,550
62,62,04,Bremen,04011,Bremen,534,773,1441,36043,18,1349,1,521,3940,325,107,709,219,362,2317,5031
63,63,04,Bremen,04012,Bremerhaven,110,168,319,5984,2,206,1,59,853,73,38,192,33,113,415,861
64,64,05,Nordrhein-Westfalen,05111,Düsseldorf,689,1132,1563,53857,17,1629,0,578,5465,350,259,1071,243,526,2842,7358
